state,year,quarter,brand,total_users,total_transaction_amount
maharashtra,2022,1,Xiaomi,11340940,0.23515441252244823
maharashtra,2021,4,Xiaomi,10876133,0.23912783081917255
maharashtra,2021,3,Xiaomi,10369008,0.24351131157195435
maharashtra,2022,1,Vivo,9873983,0.20473705633057232
maharashtra,2021,2,Xiaomi,9764252,0.24616983712241644
maharashtra,2022,1,Samsung,9447206,0.19588783442188637
uttar-pradesh,2022,1,Xiaomi,9273651,0.2377878009908386
maharashtra,2021,1,Xiaomi,9195320,0.24800244956939832
maharashtra,2021,4,Vivo,9147706,0.20112581307635072
maharashtra,2021,4,Samsung,9133368,0.20081057099184466
uttar-pradesh,2021,4,Xiaomi,8926080,0.24376438087037522
maharashtra,2021,3,Samsung,8810154,0.20690235321362468
maharashtra,2020,4,Xiaomi,8584570,0.24931495940580317
uttar-pradesh,2021,3,Xiaomi,8522940,0.24955989248264562
maharashtra,2021,2,Samsung,8511194,0.21457857096450278
maharashtra,2021,3,Vivo,8354641,0.19620484308844438
maharashtra,2021,1,Samsung,8088910,0.21816201006016123
uttar-pradesh,2021,2,Xiaomi,8037309,0.2539282167443124
maharashtra,2020,3,Xiaomi,7895486,0.2513724424826326
karnataka,2022,1,Xiaomi,7620184,0.24423393469092286
uttar-pradesh,2021,1,Xiaomi,7599834,0.25777812450446586
maharashtra,2020,4,Samsung,7578573,0.2200985745178752
uttar-pradesh,2022,1,Vivo,7577324,0.19429189338213235
maharashtra,2021,2,Vivo,7509629,0.18932777930964656
karnataka,2021,4,Xiaomi,7306532,0.248018323098655
maharashtra,2020,2,Xiaomi,7291300,0.25347742746188906
uttar-pradesh,2020,4,Xiaomi,7082855,0.25992954491691367
uttar-pradesh,2021,4,Vivo,7025228,0.19185357445745774
maharashtra,2022,1,Oppo,7009300,0.1453378488638152
karnataka,2021,3,Xiaomi,6973776,0.25254291982381105
maharashtra,2020,3,Samsung,6914730,0.2201476348901048
karnataka,2022,1,Vivo,6902224,0.22122265363121418
maharashtra,2021,1,Vivo,6831786,0.18425673744186405
maharashtra,2020,1,Xiaomi,6677147,0.2551607874997277
uttar-pradesh,2022,1,Samsung,6602107,0.16928613179816906
karnataka,2021,2,Xiaomi,6567268,0.2550294021328784
uttar-pradesh,2020,3,Xiaomi,6521651,0.26256625099906933
maharashtra,2021,4,Oppo,6511923,0.14317423494650888
uttar-pradesh,2021,3,Vivo,6444391,0.1886979757074588
karnataka,2021,4,Vivo,6391484,0.21695725739542152
maharashtra,2020,2,Samsung,6335245,0.22024078078542855
uttar-pradesh,2021,4,Samsung,6308300,0.17227482207694622
rajasthan,2022,1,Vivo,6252325,0.2672064280746705
maharashtra,2020,4,Vivo,6188503,0.17972785756627194
karnataka,2021,1,Xiaomi,6173033,0.2561867546221272
maharashtra,2019,4,Xiaomi,6103857,0.2570554076455645
uttar-pradesh,2021,3,Samsung,6016111,0.17615752478882424
maharashtra,2021,3,Oppo,6005730,0.14104176496411552
uttar-pradesh,2020,2,Xiaomi,5953474,0.26461626207485034
karnataka,2021,3,Vivo,5824764,0.21093348966824013
uttar-pradesh,2021,2,Vivo,5805913,0.1834301922027162
maharashtra,2020,1,Samsung,5772343,0.2205845678698613
uttar-pradesh,2021,2,Samsung,5762770,0.1820671458080834
karnataka,2020,4,Xiaomi,5759174,0.2571038931737251
rajasthan,2021,4,Vivo,5751824,0.26171775642777456
andhra-pradesh,2022,1,Xiaomi,5743382,0.24073240824411116
karnataka,2022,1,Samsung,5641275,0.1808080736532787
west-bengal,2022,1,Xiaomi,5586240,0.2548491917371277
maharashtra,2020,3,Vivo,5536849,0.17627936478989661
andhra-pradesh,2021,4,Xiaomi,5518238,0.24537466690980744
maharashtra,2019,3,Xiaomi,5512362,0.2586375006035026
telangana,2022,1,Xiaomi,5509008,0.24870680773966877
maharashtra,2021,2,Oppo,5487836,0.13835567683776837
karnataka,2021,4,Samsung,5458878,0.18530018996154943
uttar-pradesh,2021,1,Samsung,5451884,0.18492199073504834
uttar-pradesh,2020,1,Xiaomi,5356063,0.2659910064711136
west-bengal,2021,4,Xiaomi,5313832,0.2573966456097541
uttar-pradesh,2021,1,Vivo,5294031,0.17956778822386144
karnataka,2020,3,Xiaomi,5287266,0.2580721462546766
telangana,2021,4,Xiaomi,5285587,0.2526855192952133
karnataka,2021,3,Samsung,5266120,0.19070318876639686
maharashtra,2019,4,Samsung,5262077,0.22160501930129575
andhra-pradesh,2021,3,Xiaomi,5256707,0.249607429247758
karnataka,2021,2,Vivo,5226819,0.20297519830571392
rajasthan,2021,3,Vivo,5212563,0.2542780018893176
uttar-pradesh,2022,1,Oppo,5167492,0.1325008412886953
uttar-pradesh,2020,4,Samsung,5086075,0.1866508858593451
karnataka,2021,2,Samsung,5073030,0.19700304721874545
maharashtra,2021,1,Oppo,5069410,0.13672456182836523
telangana,2021,3,Xiaomi,5040723,0.256979432052913
west-bengal,2021,3,Xiaomi,4999610,0.25873508625192887
gujarat,2022,1,Vivo,4996272,0.259340283786706
tamil-nadu,2022,1,Xiaomi,4978558,0.2297758528860914
maharashtra,2020,2,Vivo,4942835,0.17183452884514233
andhra-pradesh,2021,2,Xiaomi,4937684,0.25165424326757607
maharashtra,2019,2,Xiaomi,4892831,0.26057610451097685
bihar,2022,1,Xiaomi,4888198,0.26444622345731256
karnataka,2020,2,Xiaomi,4835717,0.2592131936730697
tamil-nadu,2022,1,Vivo,4823657,0.2226266925493215
karnataka,2021,1,Samsung,4808995,0.1995778772029951
uttar-pradesh,2021,4,Oppo,4798699,0.13104877961191125
uttar-pradesh,2019,4,Xiaomi,4790187,0.26686959477851857
andhra-pradesh,2022,1,Vivo,4772765,0.20004924144575534
uttar-pradesh,2020,4,Vivo,4769619,0.17503745256638248
karnataka,2021,1,Vivo,4760972,0.1975848769197926
maharashtra,2019,3,Samsung,4737873,0.22229883140781007
tamil-nadu,2021,4,Xiaomi,4737458,0.23185166529944343
telangana,2021,2,Xiaomi,4736356,0.25872000034959536
bihar,2021,4,Xiaomi,4718889,0.27220201729570426
madhya-pradesh,2022,1,Xiaomi,4678482,0.23801622973210365
maharashtra,2020,4,Oppo,4665421,0.13549417702062908
west-bengal,2021,2,Xiaomi,4654760,0.2588857306229334
gujarat,2021,4,Vivo,4645259,0.25608950471412717
andhra-pradesh,2021,1,Xiaomi,4644641,0.2529246640647629
uttar-pradesh,2020,3,Samsung,4643207,0.18693877587172875
rajasthan,2022,1,Xiaomi,4620642,0.1974729791288523
rajasthan,2021,2,Vivo,4603263,0.24251971117410398
madhya-pradesh,2022,1,Vivo,4575284,0.23276606549594892
